code,day,id,avg_num_coders,num_codes,used_on_lines,percent
83,2012-10-10,78467,3.5309,83,81,33.90357654
83,2012-10-13,133591,5.6667,6,6,25.69445000
83,2012-10-14,46940,5.0000,2,2,20.00000000
83,2012-10-15,47331,3.5366,41,41,35.40842927
83,2012-10-16,133732,3.2667,15,15,35.74072667
83,2012-10-21,133806,3.0370,27,27,34.99998148
83,2012-10-22,46977,4.5000,6,6,22.50000000
83,2012-10-24,305171,2.2308,13,13,46.79486923
83,2012-10-26,161711,3.3846,13,13,33.01280000
83,2012-10-27,162262,7.0000,1,1,14.28570000
83,2012-10-29,162269,6.5000,4,4,15.47620000
